 "csubject" , "cnumber" , "cname" , "component" ,
 "MECH" , "370" , "Modelling and Analysis of Dynamic Systems" , "http://acad.io/schema#Tutorial" ,
 "MECH" , "370" , "Modelling and Analysis of Dynamic Systems" , "http://acad.io/schema#Lab" ,
 "BIOL" , "382" , "Comparative Animal Physiology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "382" , "Comparative Animal Physiology" , "http://acad.io/schema#Lab" ,
 "HIST" , "486" , "Public History Internship" , "http://acad.io/schema#Tutorial" ,
 "PHYS" , "293" , "Experimental Electricity and Magnetism I" , "http://acad.io/schema#Lab" ,
 "BLDG" , "6851" , "Project Cost Estimating" , "http://acad.io/schema#Lecture" ,
 "MSCA" , "632" , "Financial Market Microstructure" , "http://acad.io/schema#Lecture" ,
 "COMP" , "477" , "Animation for Computer Games" , "http://acad.io/schema#Lecture" ,
 "COMP" , "477" , "Animation for Computer Games" , "http://acad.io/schema#Lab" ,
 "FTRA" , "692" , "Mémoire" , "http://acad.io/schema#Lecture" ,
 "MECH" , "471" , "Microcontrollers for Mechatronics" , "http://acad.io/schema#Lecture" ,
 "MECH" , "471" , "Microcontrollers for Mechatronics" , "http://acad.io/schema#Lab" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "http://acad.io/schema#Lecture" ,
 "COMS" , "361" , "Propaganda" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "382" , "Teaching Science Concepts in the Elementary Classroom" , "http://acad.io/schema#Lecture" ,
 "PHIL" , "693" , "Research Paper" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6051" , "Introduction to Analog VLSI" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "264" , "Communication: Child, Parent and Teacher" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "264" , "Communication: Child, Parent and Teacher" , "http://acad.io/schema#Lab" ,
 "EMBA" , "635" , "Starting a New Venture" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6721" , "Building Acoustics" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "631" , "Research Methods" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6351" , "Modern Antenna Theory" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "692" , "Creative Writing Thesis" , "http://acad.io/schema#Tutorial" ,
 "CHEM" , "651" , "Nanochemistry" , "http://acad.io/schema#Lecture" ,
 "FINA" , "695" , "Applied Investments: Business Analysis and Valuation" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "347" , "Creative Non-Fiction Writing" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6671" , "Fate and Transport of Contaminants in the Environment" , "http://acad.io/schema#Lecture" ,
 "COMS" , "395" , "Communication Studies Apprenticeship II" , "http://acad.io/schema#Tutorial" ,
 "EXCI" , "352" , "Essentials of Exercise Testing and Training in Athletic Populations" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "352" , "Essentials of Exercise Testing and Training in Athletic Populations" , "http://acad.io/schema#Lab" ,
 "MBA" , "645" , "Economics for Organizational Decision Making" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6611" , "Building Science" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "498" , "Étude avancée d’un sujet particulier" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "6021" , "Durability of Concrete Materials" , "http://acad.io/schema#Lecture" ,
 "AERO" , "390" , "Aerospace Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "AERO" , "390" , "Aerospace Engineering Design Project" , "http://acad.io/schema#Tutorial" ,
 "TESL" , "221" , "Phonology for Teachers" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "484" , "Development & Global Engineering (also listed as ENCS 6821)" , "http://acad.io/schema#Lecture" ,
 "MATH" , "496" , "Honours Project in Pure and Applied Mathematics" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "http://acad.io/schema#Lab" ,
 "INDU" , "412" , "Human Factors Engineering" , "http://acad.io/schema#Lecture" ,
 "INDU" , "412" , "Human Factors Engineering" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6381" , "Techniques in Electromagnetic Compatibility" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6431" , "Advanced Electrical Machines and Drives" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6111" , "Gas Dynamics" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6140" , "Malware Defenses and Application Security" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "342" , "Discrete-Time Signals and Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "342" , "Discrete-Time Signals and Systems" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "342" , "Discrete-Time Signals and Systems" , "http://acad.io/schema#Lab" ,
 "FTRA" , "438" , "Initiation au sous-titrage" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "698" , "Étude d’un sujet particulier / Special Topics" , "http://acad.io/schema#Tutorial" ,
 "INDU" , "421" , "Facilities Design and Material Handling Systems" , "http://acad.io/schema#Lecture" ,
 "INDU" , "421" , "Facilities Design and Material Handling Systems" , "http://acad.io/schema#Tutorial" ,
 "INDU" , "421" , "Facilities Design and Material Handling Systems" , "http://acad.io/schema#Lab" ,
 "GEOG" , "374" , "Plant Ecology" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "374" , "Plant Ecology" , "http://acad.io/schema#Lab" ,
 "FTRA" , "668" , "Web, technologies, traduction : théories et critiques" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6131" , "Conduction and Radiation Heat Transfer" , "http://acad.io/schema#Lecture" ,
 "MSCA" , "654" , "Seminar in Consulting" , "http://acad.io/schema#Lecture" ,
 "FRAA" , "498" , "Étude avancée d’un sujet particulier" , "http://acad.io/schema#Lecture" ,
 "TESL" , "427" , "Secondary Pedagogy" , "http://acad.io/schema#Lecture" ,
 "ENVS" , "696" , "Internship and Report in Environmental Assessment" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "483" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "http://acad.io/schema#Lecture" ,
 "FLIT" , "691" , "Présentation du mémoire incluant une réalisation médiatique" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "622" , "Advanced Techniques in Ecology" , "http://acad.io/schema#Tutorial" ,
 "BIOL" , "622" , "Advanced Techniques in Ecology" , "http://acad.io/schema#Lab" ,
 "MAST" , "701" , "Project" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "385" , "Control Systems and Applications" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "385" , "Control Systems and Applications" , "http://acad.io/schema#Tutorial" ,
 "FTRA" , "614" , "Traduction littéraire avancée 
Co-listé : FTRA 544 ou 545" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "232" , "Working in Task Groups" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6741" , "Mechatronics" , "http://acad.io/schema#Lecture" ,
 "FTRA" , "682" , "Tutorat en traduction" , "http://acad.io/schema#Tutorial" ,
 "EXCI" , "253" , "Human Anatomy I: Musculoskeletal Anatomy" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "253" , "Human Anatomy I: Musculoskeletal Anatomy" , "http://acad.io/schema#Lab" ,
 "CIVI" , "6071" , "Advanced Steel Structures Design" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "361" , "Leisure Services Leadership" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "491" , "Independent Study II" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6321" , "Machine Learning" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6321" , "Machine Learning" , "http://acad.io/schema#Lab" ,
 "CIVI" , "469" , "Geo-Environmental Engineering" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "469" , "Geo-Environmental Engineering" , "http://acad.io/schema#Lab" ,
 "FINA" , "413" , "Advanced Topics in Derivative Markets" , "http://acad.io/schema#Lecture" ,
 "MANA" , "420" , "Management Research for Decision Making" , "http://acad.io/schema#Lecture" ,
 "COMS" , "583" , "Internships in Communication Studies" , "http://acad.io/schema#Tutorial" ,
 "APLI" , "647" , "Supervision of Practice Teaching" , "http://acad.io/schema#Lecture" ,
 "COMS" , "496" , "Directed Study I" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "6531" , "ASIC Synthesis" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "297" , "Experimental Optics" , "http://acad.io/schema#Lab" ,
 "CIVI" , "7001" , "Earthquake Engineering" , "http://acad.io/schema#Lecture" ,
 "POLI" , "495" , "Honours Thesis" , "http://acad.io/schema#Lecture" ,
 "FINA" , "409" , "Applied Investment Analysis" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "358" , "Physiology of Exercise" , "http://acad.io/schema#Lecture" ,
 "EXCI" , "358" , "Physiology of Exercise" , "http://acad.io/schema#Lab" ,
 "HEXS" , "801" , "Scientific Communication and Pedagogy in Health and Exercise Science" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6671" , "Finite Element Method in Machine Design" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "304" , "Play in Childhood Settings" , "http://acad.io/schema#Lecture" ,
 "FRAN" , "318" , "Le français des affaires I" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "456" , "Antennas" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "456" , "Antennas" , "http://acad.io/schema#Lab" ,
 "COEN" , "6541" , "Functional Hardware Verification" , "http://acad.io/schema#Lecture" ,
 "FRAA" , "492" , "Tutorat en langue ou linguistique" , "http://acad.io/schema#Tutorial" ,
 "BIOL" , "890" , "Research and Thesis" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6401" , "Transportation Systems Analysis" , "http://acad.io/schema#Lecture" ,
 "SCPA" , "511" , "CED Field Project - Part II" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "361" , "Introduction to Environmental Engineering" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "361" , "Introduction to Environmental Engineering" , "http://acad.io/schema#Tutorial" ,
 "CIVI" , "361" , "Introduction to Environmental Engineering" , "http://acad.io/schema#Lab" ,
 "BLDG" , "7811" , "Project Acquisition and Control" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "7151" , "Broadband Communications Networks" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "490" , "Capstone Software Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "SOEN" , "490" , "Capstone Software Engineering Design Project" , "http://acad.io/schema#Lab" ,
 "APLI" , "626" , "Variationist Approaches to Second Language Acquisition" , "http://acad.io/schema#Lecture" ,
 "EMBA" , "611" , "Managing Talent" , "http://acad.io/schema#Lecture" ,
 "MECH" , "425" , "Manufacturing of Composites" , "http://acad.io/schema#Lecture" ,
 "MECH" , "425" , "Manufacturing of Composites" , "http://acad.io/schema#Lab" ,
 "CATA" , "348" , "Therapeutic Modalities in Sports Medicine" , "http://acad.io/schema#Lecture" ,
 "CATA" , "348" , "Therapeutic Modalities in Sports Medicine" , "http://acad.io/schema#Lab" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "http://acad.io/schema#Lecture" ,
 "HIST" , "890" , "Thesis Research" , "http://acad.io/schema#Tutorial" ,
 "EDUC" , "406" , "Physcial Activity: Health and Well-being in Early Childhood Settings" , "http://acad.io/schema#Lecture" ,
 "TESL" , "326" , "Pedagogy: General" , "http://acad.io/schema#Lecture" ,
 "URBS" , "335" , "Geographic Information Systems" , "http://acad.io/schema#Lecture" ,
 "URBS" , "335" , "Geographic Information Systems" , "http://acad.io/schema#Tutorial" ,
 "URBS" , "335" , "Geographic Information Systems" , "http://acad.io/schema#Lab" ,
 "BTM" , "496" , "Information Technology strategy, management and sourcing" , "http://acad.io/schema#Lecture" ,
 "CHST" , "608" , "Field Observations" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "660" , "Philosophy and Ethics of Intervention" , "http://acad.io/schema#Lecture" ,
 "INSE" , "6260" , "Software Quality Assurance" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "368" , "Genetics and Cell Biology Laboratory" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "368" , "Genetics and Cell Biology Laboratory" , "http://acad.io/schema#Lab" ,
 "BLDG" , "6241" , "Building Information Modelling in Construction" , "http://acad.io/schema#Lecture" ,
 "URBS" , "433" , "Advanced Urban Laboratory" , "http://acad.io/schema#Lecture" ,
 "URBS" , "433" , "Advanced Urban Laboratory" , "http://acad.io/schema#Lab" ,
 "MECH" , "6191" , "Combustion" , "http://acad.io/schema#Lecture" ,
 "APLI" , "630" , "Second Language Syllabus Design and Curriculum Planning" , "http://acad.io/schema#Lecture" ,
 "ECON" , "680" , "Econometric Theory I" , "http://acad.io/schema#Lecture" ,
 "ECON" , "680" , "Econometric Theory I" , "http://acad.io/schema#Lab" ,
 "MSCA" , "602" , "Applied Linear Statistical Models" , "http://acad.io/schema#Lecture" ,
 "CATA" , "263" , "Principles of Athletic Therapy" , "http://acad.io/schema#Lecture" ,
 "CATA" , "263" , "Principles of Athletic Therapy" , "http://acad.io/schema#Lab" ,
 "COMP" , "353" , "Databases" , "http://acad.io/schema#Lecture" ,
 "COMP" , "353" , "Databases" , "http://acad.io/schema#Tutorial" ,
 "COMP" , "353" , "Databases" , "http://acad.io/schema#Lab" ,
 "COMP" , "492" , "Computer Science Project II" , "http://acad.io/schema#Lecture" ,
 "APLI" , "623" , "Sociolinguistics" , "http://acad.io/schema#Lecture" ,
 "MAST" , "232" , "Mathematics with Computer Algebra" , "http://acad.io/schema#Lecture" ,
 "AHSC" , "698" , "Master’s Project" , "http://acad.io/schema#Lecture" ,
 "WSDB" , "496" , "Directed Research" , "http://acad.io/schema#Tutorial" ,
 "MBA" , "641" , "Responsible Manager" , "http://acad.io/schema#Lecture" ,
 "MECH" , "6301" , "Vibration Problems in Rotating Machinery" , "http://acad.io/schema#Lecture" ,
 "ADIP" , "500" , "Adult Education in Québec as a Field of Study" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6611" , "Environmental Engineering" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "392" , "Experimental Medical Electronics" , "http://acad.io/schema#Lecture" ,
 "EDUC" , "462" , "Child Studies Field Experience: Inclusive Practices in Childhood Settings" , "http://acad.io/schema#Lecture" ,
 "COEN" , "6312" , "Model-Driven Software Engineering" , "http://acad.io/schema#Lecture" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "6581" , "Decision Analysis" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "482" , "System Optimization" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "482" , "System Optimization" , "http://acad.io/schema#Lab" ,
 "CHEM" , "325" , "Organic Chemistry IV: Organic Structure and Stereochemistry" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "325" , "Organic Chemistry IV: Organic Structure and Stereochemistry" , "http://acad.io/schema#Lab" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6841" , "Advanced Digital Communications" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "222" , "Introductory Organic Chemistry II" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "222" , "Introductory Organic Chemistry II" , "http://acad.io/schema#Lab" ,
 "APLI" , "635" , "Language Assessment" , "http://acad.io/schema#Lecture" ,
 "AERO" , "481" , "Materials Engineering for Aerospace" , "http://acad.io/schema#Lecture" ,
 "AERO" , "481" , "Materials Engineering for Aerospace" , "http://acad.io/schema#Lab" ,
 "ELEC" , "6181" , "Real-time and Multimedia Communication over Internet" , "http://acad.io/schema#Lecture" ,
 "INDU" , "323" , "Operations Research I" , "http://acad.io/schema#Lecture" ,
 "INDU" , "323" , "Operations Research I" , "http://acad.io/schema#Tutorial" ,
 "INDU" , "323" , "Operations Research I" , "http://acad.io/schema#Lab" ,
 "BLDG" , "6621" , "Modern Building Materials" , "http://acad.io/schema#Lecture" ,
 "MECH" , "390" , "Mechanical Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "MECH" , "390" , "Mechanical Engineering Design Project" , "http://acad.io/schema#Tutorial" ,
 "PSYC" , "316" , "Statistical Analysis II" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "316" , "Statistical Analysis II" , "http://acad.io/schema#Lab" ,
 "FTRA" , "636" , "Informatique et traduction Co-listé : FTRA 536" , "http://acad.io/schema#Lecture" ,
 "SCPA" , "509" , "Le financement des initiatives de DÉC. Partie II" , "http://acad.io/schema#Lecture" ,
 "MAST" , "892" , "Doctoral Thesis" , "http://acad.io/schema#Lecture" ,
 "URBS" , "260" , "Analytical Methods in Urban Studies" , "http://acad.io/schema#Lecture" ,
 "URBS" , "260" , "Analytical Methods in Urban Studies" , "http://acad.io/schema#Lab" ,
 "PHIL" , "495" , "Honours Essay" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "6042" , "Communication for the Innovation Process" , "http://acad.io/schema#Lecture" ,
 "SPAN" , "601" , "Discourse Analysis and Research Methods" , "http://acad.io/schema#Lecture" ,
 "INDU" , "6351" , "System Reliability" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "492" , "Construction Processes" , "http://acad.io/schema#Lecture" ,
 "INDU" , "6151" , "Decision Models in Service Sector" , "http://acad.io/schema#Lecture" ,
 "COEN" , "345" , "Software Testing and Validation" , "http://acad.io/schema#Lecture" ,
 "COEN" , "345" , "Software Testing and Validation" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "345" , "Software Testing and Validation" , "http://acad.io/schema#Lab" ,
 "INDU" , "490" , "Capstone Industrial Engineering Design Project" , "http://acad.io/schema#Lecture" ,
 "INDU" , "490" , "Capstone Industrial Engineering Design Project" , "http://acad.io/schema#Lab" ,
 "SPAN" , "682" , "Research Paper I" , "http://acad.io/schema#Lecture" ,
